#--------------------------------------------------------------------
# Z = 95  A = 241 Am  nbeta= 131  Egs= 0.000 MeV  E(0+)= 0.0000 MeV
#     beta20      beta22      beta30       E-EGS          Mu
#--------------------------------------------------------------------
      -0.000       0.000      -0.000       9.805     139.848
       0.020       0.000       0.000       9.650     139.492
       0.040       0.000       0.097       8.813     159.050
       0.060       0.000       0.107       8.306     162.034
       0.080       0.000       0.115       7.797     170.041
       0.100       0.000       0.121       7.326     176.955
       0.120       0.000       0.127       6.906     180.717
       0.140       0.000       0.136       6.203     194.579
       0.160       0.000       0.139       5.518     193.543
       0.180       0.000       0.131       4.805     188.466
       0.200       0.000       0.100       3.789     225.312
       0.220       0.000       0.053       2.684     182.619
       0.240       0.000       0.000       1.544     190.872
       0.260       0.000      -0.000       0.625     224.158
       0.280       0.000       0.000       0.071     282.600
       0.300       0.000      -0.000       0.000     279.974
       0.320       0.000       0.000       0.414     211.748
       0.340       0.000       0.000       1.257     195.848
       0.360       0.000       0.000       2.312     180.569
       0.380       0.000      -0.000       3.311     204.113
       0.400       0.000       0.000       4.314     178.621
       0.420       0.056       0.000       4.651     196.144
       0.440       0.061       0.000       5.155     186.449
       0.460       0.069      -0.000       5.495     180.932
       0.480       0.070       0.000       5.625     188.436
       0.500       0.071       0.000       5.689     198.548
       0.520       0.071       0.000       5.767     184.860
       0.540       0.071       0.000       5.721     168.258
       0.560       0.071       0.000       5.752     157.415
       0.580       0.071       0.000       5.885     148.588
       0.600       0.070       0.000       6.085     145.612
       0.620       0.068       0.000       6.258     145.384
       0.640       0.066       0.000       6.462     146.412
       0.660       0.000      -0.000       6.415     150.932
       0.680       0.000      -0.000       5.917     157.544
       0.700       0.000      -0.000       5.431     163.380
       0.720       0.000      -0.000       5.005     163.978
       0.740       0.000       0.000       4.629     159.079
       0.760       0.000       0.000       4.267     152.848
       0.780       0.000      -0.000       3.774     130.058
       0.800       0.000      -0.000       3.229     120.772
       0.820       0.000      -0.000       2.756     119.137
       0.840       0.000       0.000       2.412     119.353
       0.860       0.000       0.000       2.212     118.089
       0.880       0.000      -0.000       2.020     124.782
       0.900       0.000      -0.000       1.875     142.980
       0.920       0.000      -0.000       1.753     154.930
       0.940       0.000       0.000       1.590     140.600
       0.960       0.000       0.000       1.451     112.097
       0.980       0.000       0.000       1.453      88.850
       1.000       0.000      -0.000       1.573      92.455
       1.020       0.000      -0.000       1.846      95.619
       1.040       0.000       0.000       2.231     105.827
       1.060       0.000      -0.000       2.659     116.290
       1.080       0.000       0.000       3.068     113.583
       1.100       0.000       0.000       3.476      97.571
       1.120       0.000       0.000       3.864      76.738
       1.140       0.000       0.000       4.232      66.707
       1.160       0.000       0.262       4.472      82.541
       1.180       0.000       0.303       4.643      89.572
       1.200       0.000       0.333       4.783      91.181
       1.220       0.000       0.361       4.907      87.961
       1.240       0.000       0.386       5.031      78.829
       1.260       0.027       0.404       5.040      86.242
       1.280       0.028       0.427       5.008      82.690
       1.300       0.029       0.448       4.993      82.055
       1.320       0.029       0.469       4.992      81.104
       1.340       0.029       0.488       4.982      79.733
       1.360       0.027       0.497       5.033      78.842
       1.380       0.027       0.510       4.950      83.781
       1.400       0.026       0.526       4.887      82.665
       1.420       0.024       0.541       4.796      82.037
       1.440       0.000       0.546       4.620      73.187
       1.460       0.000       0.559       4.349      74.682
       1.480       0.000       0.573       4.062      75.168
       1.500       0.000       0.588       3.788      75.094
       1.520       0.000       0.603       3.508      74.454
       1.540       0.000       0.620       3.236      73.469
       1.560       0.000       0.638       2.972      72.082
       1.580       0.000       0.656       2.690      70.255
       1.600       0.000       0.671       2.394      69.620
       1.620       0.000       0.689       2.048      68.176
       1.640       0.000       0.705       1.709      66.456
       1.660       0.000       0.721       1.376      65.149
       1.680       0.000       0.736       1.061      64.188
